	NO. OF QUARANTINE CENTRE W.R.T CORONA VIRUS	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	CompleteAddress	Lat	Long
242	Lahore	THE RESIDENCY HOTEL, 39/A GULBERG V OFF ZAFAR ALI ROAD GULBERG LHR	70		70				THE RESIDENCY HOTEL, 39/A GULBERG V OFF ZAFAR ALI ROAD GULBERG LHR Lahore	31.5394666	74.3482903
243	Lahore	AVARI EXPRESS HOTEL, MAIN BOULEVARD GULBERG LHR	100		100				AVARI EXPRESS HOTEL, MAIN BOULEVARD GULBERG LHR Lahore	31.520704	74.3446369
244	Lahore	GRAND PLAM HOTEL, FEROZPUR ROAD OPP. GADDAFI STADIUM LHR	70		70				GRAND PLAM HOTEL, FEROZPUR ROAD OPP. GADDAFI STADIUM LHR Lahore	31.5123058	74.3287764
245	Lahore	THE NISHAT HOTEL, 9/A MEHMOOD ALI KASURI ROAD GULBERG III LHR	80		80				THE NISHAT HOTEL, 9/A MEHMOOD ALI KASURI ROAD GULBERG III LHR Lahore	31.5069541	74.3541804
246	Lahore	THE SAVOEY HOTEL, 273-A/3 GULBERG ROAD GULBERG III LHR	80		80				THE SAVOEY HOTEL, 273-A/3 GULBERG ROAD GULBERG III LHR Lahore	31.506117	74.344542
247	Lahore	MALSONETTE HOTEL & RESORT, 51-CI GHALIB ROAD GULBERG III LHR	50		50				MALSONETTE HOTEL & RESORT, 51-CI GHALIB ROAD GULBERG III LHR Lahore	31.5141212	74.3469792
248	Lahore	SHALIMAR TOWER, JAIL ROAD	80		80				SHALIMAR TOWER, JAIL ROAD Lahore	31.5341905	74.3434579
249	Lahore	NATIONAL HOTEL, ABBOT ROAD	100		100				NATIONAL HOTEL, ABBOT ROAD Lahore	31.5668432	74.3239836
250	Lahore	METROPOL HOTEL, ABBOT ROAD	100		100				METROPOL HOTEL, ABBOT ROAD Lahore	31.5651521	74.3275207
251	Lahore	LUXCES GRAND HOTEL, EGRATON ROAD	100		100				LUXCES GRAND HOTEL, EGRATON ROAD Lahore	31.5619237	74.3279836
252	Lahore	CROWN PLAM, DHARAMPURA	80		80				CROWN PLAM, DHARAMPURA Lahore	31.5511871	74.3550143
253	Lahore	AMMBESDIR HOTEL, DAVIS ROAD	70		70				AMMBESDIR HOTEL, DAVIS ROAD Lahore	31.5613196	74.3355713
254	Lahore	AL-MAYDAHOTEL, PEPSI FACTORY	200		200				AL-MAYDAHOTEL, PEPSI FACTORY Lahore	31.4878405	74.2087576
255	Lahore	ROYAL SWIFT, AIRPORT ROAD	300		300				ROYAL SWIFT, AIRPORT ROAD Lahore	31.5205446	74.4083263
256	Kasur	Lakasa hotel Multan Road	9		9				Lakasa hotel Multan Road Kasur	30.983657	73.79022
257	Kasur	Green Motel Multan Road	10		10				Green Motel Multan Road Kasur	30.9793769	73.7827008
258	Kasur	UVAS Pattoki		36	36	Yes / All utility facilities availabled	Functional		UVAS Pattoki Kasur	31.06052	73.8674217
259	Kasur	Govt. Commerce College Pattoki		19	19	Yes / All utility facilities availabled	Functional		Govt. Commerce College Pattoki Kasur	31.0605654	73.8542894
260	Kasur	Fisheries Rest House Sindhu	3		3				Fisheries Rest House Sindhu Kasur	0	0
